iter	Passed	Remaining
57580	9049	65258581	9065	65158582	9082	64958583	9105	64858584	9119	64658585	9131	64558586	9153	64458587	9172	64258588	9191	64158589	9210	64058590	9224	63859591	9241	6369
592	9254	6351
593	9271	6337
594	9290	6323
595	9305	6307
596	9320	6291
597	9334	6275
598	9353	6261
599	9375	6250
600	9398	6239
601	9420	6227
602	9442	6216
603	9457	6200
604	9467	6181
605	9491	6171
606	9507	6155
607	9518	6136
608	9540	6125
609	9557	6110
610	9573	6095
611	9591	6081
612	9608	6065
613	9629	6054
614	9641	6035
615	9655	6019
616	9669	6002
617	9690	5989
618	9710	5977
619	9727	5961
620	9739	5944
621	9756	5928
622	9769	5912
623	9783	5895
624	9800	5880
625	9814	5863
626	9828	5847
627	9844	5831
628	9859	5815
629	9866	5794
630	9881	5778
631	9900	5764
632	9915	5748
633	9930	5732
634	9943	5715
635	9955	5697
636	9970	5681
637	9986	5666
638	10000	56638639	10024	5638
640	10039	5622
641	10053	56641642	10066	55642643	10077	55643644	10098	5558
645	10114	5542
646	10129	5526
647	10143	55647648	10166	54648649	10184	5483
650	10194	54650651	10209	54651652	10239	54652653	10268	5432
654	10285	5417
655	10300	5401
656	10312	5383
657	10328	5368
658	10337	5349
659	10353	5333
660	10367	5317
661	10378	5299
662	10391	5281
663	10399	52663664	10417	5247
665	10425	5228
666	10442	5213
667	10459	5198
668	10470	5180
669	10486	5165
670	10499	5147
671	10509	5129
672	10525	5114
673	10545	5100
674	10559	5084
675	10577	5069
676	10589	5052
677	10606	5037
678	10618	5019
679	10633	5004
680	10648	4987
681	10663	4972
682	10676	4955
683	10688	4937
684	10709	4924
685	10720	4907
686	10732	48686687	10748	48687688	10772	4862
689	10781	48689690	10798	4828
691	10817	4814
692	10831	4798
693	10846	4782
694	10865	4768
695	10889	4756
696	10905	4740
697	10921	4725
698	10941	4711
699	10959	4696
700	10972	46700701	10991	46701702	11009	46702703	11029	46703704	11044	46704705	11057	46705	11073	4611
706707	11084	45707708	11103	45708	11119	4563
709710	11135	45710711	11148	45711712	11166	44712713	11186	44713714	11205	44714715	11229	4454
716	11248	4439
717	11276	4429
718	11293	4413
719	11310	4398
720	11330	4384
721	11348	4369
722	11365	4354
723	11383	43723724	11412	4329
725	11427	4312
726	11441	4296
727	11452	4279
728	11466	42728729	11482	42729730	11504	42730731	11530	4221
732	11546	4205
733	11559	41733734	11579	4174
735	11597	4159
736	11616	41736737	11638	4131
738	11658	4117
739	11674	4101
740	11694	4087
741	11709	4071
742	11717	4053
743	11735	4038
744	11749	40744745	11763	4005
746	11778	3989
747	11790	3972
748	11802	3955
749	11820	3940
750	11832	3923
751	11843	39751752	11851	38752753	11865	38753754	11880	38754	11893	3859
755756	11908	38756757	11926	38757	11943	3813
758759	11952	37759760	11971	37760761	11986	37761762	12003	37762763	12021	37763764	12033	36764765	12050	36765766	12061	36766767	12073	36767768	12086	36768769	12099	36769770	12120	35770771	12141	35771772	12160	35772773	12176	35773774	12193	35774775	12203	35775	12219	3527
776	12239	3512
777778	12249	34778779	12260	34779780	12274	34780	12291	3446
781	12301	3429
782	12315	3413
783	12334	3398
784	12341	3380
785786	12362	3345
787	12381	3331
788	12396	3315
789	12406	32789790	12422	32790791	12434	32791792	12453	32792793	12468	32793794	12489	32794795	12503	32795796	12518	31796	12530	3191
797798	12544	31798	12569	3162
799	12590	3147
800	12606	3131
801	12619	3115
802	12637	3100
803	12650	3083
804	12669	3068
805	12679	3051
806	12690	3035
807	12707	3019
808	12720	3003
809	12734	2987
810	12763	2974
811	12773	2957
812	12790	2942
813	12809	2927
814	12824	2910
815	12839	2895
